University Index,University,Count,Year,Type
1,TDU,3.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
2,HYÖU,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
3,HNGU,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
4,TDBGI,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
5,TDLU,12.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
6,TDBSI,1.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
7,HGI,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
8,TDMaI,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
9,TDYDI,1.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
10,TTweII,3.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
11,TMDDI,1.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
12,TITU,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
13,TITUKI,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
14,HAA,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
15,TOHU,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
16,TDMI,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
17,TMK,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
18,TDÇA,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
19,SSTDMI,8.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
20,TDEI,1.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
21,TOHI,0.0,2007,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
1,TDU,2.0,2007,ylymlaryň kandidaty
2,HYÖU,0.0,2007,ylymlaryň kandidaty
3,HNGU,0.0,2007,ylymlaryň kandidaty
4,TDBGI,0.0,2007,ylymlaryň kandidaty
5,TDLU,8.0,2007,ylymlaryň kandidaty
6,TDBSI,1.0,2007,ylymlaryň kandidaty
7,HGI,0.0,2007,ylymlaryň kandidaty
8,TDMaI,0.0,2007,ylymlaryň kandidaty
9,TDYDI,1.0,2007,ylymlaryň kandidaty
10,TTweII,2.0,2007,ylymlaryň kandidaty
11,TMDDI,1.0,2007,ylymlaryň kandidaty
12,TITU,0.0,2007,ylymlaryň kandidaty
13,TITUKI,0.0,2007,ylymlaryň kandidaty
14,HAA,0.0,2007,ylymlaryň kandidaty
15,TOHU,0.0,2007,ylymlaryň kandidaty
16,TDMI,0.0,2007,ylymlaryň kandidaty
17,TMK,0.0,2007,ylymlaryň kandidaty
18,TDÇA,0.0,2007,ylymlaryň kandidaty
19,SSTDMI,6.0,2007,ylymlaryň kandidaty
20,TDEI,1.0,2007,ylymlaryň kandidaty
21,TOHI,0.0,2007,ylymlaryň kandidaty
1,TDU,0.0,2007,ylymlaryň doktory
2,HYÖU,0.0,2007,ylymlaryň doktory
3,HNGU,0.0,2007,ylymlaryň doktory
4,TDBGI,0.0,2007,ylymlaryň doktory
5,TDLU,1.0,2007,ylymlaryň doktory
6,TDBSI,0.0,2007,ylymlaryň doktory
7,HGI,0.0,2007,ylymlaryň doktory
8,TDMaI,0.0,2007,ylymlaryň doktory
9,TDYDI,0.0,2007,ylymlaryň doktory
10,TTweII,1.0,2007,ylymlaryň doktory
11,TMDDI,0.0,2007,ylymlaryň doktory
12,TITU,0.0,2007,ylymlaryň doktory
13,TITUKI,0.0,2007,ylymlaryň doktory
14,HAA,0.0,2007,ylymlaryň doktory
15,TOHU,0.0,2007,ylymlaryň doktory
16,TDMI,0.0,2007,ylymlaryň doktory
17,TMK,0.0,2007,ylymlaryň doktory
18,TDÇA,0.0,2007,ylymlaryň doktory
19,SSTDMI,0.0,2007,ylymlaryň doktory
20,TDEI,0.0,2007,ylymlaryň doktory
21,TOHI,0.0,2007,ylymlaryň doktory
1,TDU,1.0,2007,dosent
2,HYÖU,0.0,2007,dosent
3,HNGU,0.0,2007,dosent
4,TDBGI,0.0,2007,dosent
5,TDLU,2.0,2007,dosent
6,TDBSI,0.0,2007,dosent
7,HGI,0.0,2007,dosent
8,TDMaI,0.0,2007,dosent
9,TDYDI,0.0,2007,dosent
10,TTweII,0.0,2007,dosent
11,TMDDI,0.0,2007,dosent
12,TITU,0.0,2007,dosent
13,TITUKI,0.0,2007,dosent
14,HAA,0.0,2007,dosent
15,TOHU,0.0,2007,dosent
16,TDMI,0.0,2007,dosent
17,TMK,0.0,2007,dosent
18,TDÇA,0.0,2007,dosent
19,SSTDMI,2.0,2007,dosent
20,TDEI,0.0,2007,dosent
21,TOHI,0.0,2007,dosent
1,TDU,0.0,2007,professor
2,HYÖU,0.0,2007,professor
3,HNGU,0.0,2007,professor
4,TDBGI,0.0,2007,professor
5,TDLU,1.0,2007,professor
6,TDBSI,0.0,2007,professor
7,HGI,0.0,2007,professor
8,TDMaI,0.0,2007,professor
9,TDYDI,0.0,2007,professor
10,TTweII,0.0,2007,professor
11,TMDDI,0.0,2007,professor
12,TITU,0.0,2007,professor
13,TITUKI,0.0,2007,professor
14,HAA,0.0,2007,professor
15,TOHU,0.0,2007,professor
16,TDMI,0.0,2007,professor
17,TMK,0.0,2007,professor
18,TDÇA,0.0,2007,professor
19,SSTDMI,0.0,2007,professor
20,TDEI,0.0,2007,professor
21,TOHI,0.0,2007,professor
1,TDU,4.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
2,HYÖU,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
3,HNGU,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
4,TDBGI,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
5,TDLU,12.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
6,TDBSI,1.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
7,HGI,1.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
8,TDMaI,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
9,TDYDI,2.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
10,TTweII,3.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
11,TMDDI,2.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
12,TITU,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
13,TITUKI,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
14,HAA,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
15,TOHU,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
16,TDMI,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
17,TMK,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
18,TDÇA,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
19,SSTDMI,8.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
20,TDEI,1.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
21,TOHI,0.0,2008,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
1,TDU,3.0,2008,ylymlaryň kandidaty
2,HYÖU,0.0,2008,ylymlaryň kandidaty
3,HNGU,0.0,2008,ylymlaryň kandidaty
4,TDBGI,0.0,2008,ylymlaryň kandidaty
5,TDLU,8.0,2008,ylymlaryň kandidaty
6,TDBSI,1.0,2008,ylymlaryň kandidaty
7,HGI,0.0,2008,ylymlaryň kandidaty
8,TDMaI,0.0,2008,ylymlaryň kandidaty
9,TDYDI,2.0,2008,ylymlaryň kandidaty
10,TTweII,2.0,2008,ylymlaryň kandidaty
11,TMDDI,2.0,2008,ylymlaryň kandidaty
12,TITU,0.0,2008,ylymlaryň kandidaty
13,TITUKI,0.0,2008,ylymlaryň kandidaty
14,HAA,0.0,2008,ylymlaryň kandidaty
15,TOHU,0.0,2008,ylymlaryň kandidaty
16,TDMI,0.0,2008,ylymlaryň kandidaty
17,TMK,0.0,2008,ylymlaryň kandidaty
18,TDÇA,0.0,2008,ylymlaryň kandidaty
19,SSTDMI,6.0,2008,ylymlaryň kandidaty
20,TDEI,1.0,2008,ylymlaryň kandidaty
21,TOHI,0.0,2008,ylymlaryň kandidaty
1,TDU,0.0,2008,ylymlaryň doktory
2,HYÖU,0.0,2008,ylymlaryň doktory
3,HNGU,0.0,2008,ylymlaryň doktory
4,TDBGI,0.0,2008,ylymlaryň doktory
5,TDLU,1.0,2008,ylymlaryň doktory
6,TDBSI,0.0,2008,ylymlaryň doktory
7,HGI,1.0,2008,ylymlaryň doktory
8,TDMaI,0.0,2008,ylymlaryň doktory
9,TDYDI,0.0,2008,ylymlaryň doktory
10,TTweII,1.0,2008,ylymlaryň doktory
11,TMDDI,0.0,2008,ylymlaryň doktory
12,TITU,0.0,2008,ylymlaryň doktory
13,TITUKI,0.0,2008,ylymlaryň doktory
14,HAA,0.0,2008,ylymlaryň doktory
15,TOHU,0.0,2008,ylymlaryň doktory
16,TDMI,0.0,2008,ylymlaryň doktory
17,TMK,0.0,2008,ylymlaryň doktory
18,TDÇA,0.0,2008,ylymlaryň doktory
19,SSTDMI,0.0,2008,ylymlaryň doktory
20,TDEI,0.0,2008,ylymlaryň doktory
21,TOHI,0.0,2008,ylymlaryň doktory
1,TDU,1.0,2008,dosent
2,HYÖU,0.0,2008,dosent
3,HNGU,0.0,2008,dosent
4,TDBGI,0.0,2008,dosent
5,TDLU,2.0,2008,dosent
6,TDBSI,0.0,2008,dosent
7,HGI,0.0,2008,dosent
8,TDMaI,0.0,2008,dosent
9,TDYDI,0.0,2008,dosent
10,TTweII,0.0,2008,dosent
11,TMDDI,0.0,2008,dosent
12,TITU,0.0,2008,dosent
13,TITUKI,0.0,2008,dosent
14,HAA,0.0,2008,dosent
15,TOHU,0.0,2008,dosent
16,TDMI,0.0,2008,dosent
17,TMK,0.0,2008,dosent
18,TDÇA,0.0,2008,dosent
19,SSTDMI,2.0,2008,dosent
20,TDEI,0.0,2008,dosent
21,TOHI,0.0,2008,dosent
1,TDU,0.0,2008,professor
2,HYÖU,0.0,2008,professor
3,HNGU,0.0,2008,professor
4,TDBGI,0.0,2008,professor
5,TDLU,1.0,2008,professor
6,TDBSI,0.0,2008,professor
7,HGI,0.0,2008,professor
8,TDMaI,0.0,2008,professor
9,TDYDI,0.0,2008,professor
10,TTweII,0.0,2008,professor
11,TMDDI,0.0,2008,professor
12,TITU,0.0,2008,professor
13,TITUKI,0.0,2008,professor
14,HAA,0.0,2008,professor
15,TOHU,0.0,2008,professor
16,TDMI,0.0,2008,professor
17,TMK,0.0,2008,professor
18,TDÇA,0.0,2008,professor
19,SSTDMI,0.0,2008,professor
20,TDEI,0.0,2008,professor
21,TOHI,0.0,2008,professor
1,TDU,4.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
2,HYÖU,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
3,HNGU,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
4,TDBGI,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
5,TDLU,12.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
6,TDBSI,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
7,HGI,1.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
8,TDMaI,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
9,TDYDI,1.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
10,TTweII,3.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
11,TMDDI,2.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
12,TITU,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
13,TITUKI,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
14,HAA,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
15,TOHU,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
16,TDMI,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
17,TMK,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
18,TDÇA,0.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
19,SSTDMI,8.0,2009,Alymlyk derejeli we alymlyk atly işgärleriň jemi sany
