University,Year,Partner Country Code,Partner University Code
TDU,2007,KAZ,KA7
TDU,2008,KAZ,KA7
TDU,2009,KAZ,KA7
TDU,2010,KAZ,KA7
TDU,2011,KAZ,KA7
TDU,2012,KAZ,KA7
TDU,2013,KAZ,KA7
TDU,2013,BLR,B14
TDU,2014,KAZ,KA7
TDU,2014,BLR,B14
TDU,2014,TJK,TJ3
TDU,2015,KAZ,KA7
TDU,2015,BLR,B14
TDU,2015,TJK,TJ3
TDU,2016,KAZ,KA7
TDU,2016,BLR,B14
TDU,2016,TJK,TJ3
TDU,2016,PAK,P4
TDU,2016,CHN,C7
TDU,2017,KAZ,KA7
TDU,2017,BLR,B14
TDU,2017,TJK,TJ3
TDU,2017,PAK,P4
TDU,2017,CHN,C7
TDU,2017,AFG,AF2
TDU,2017,ARM,AR4
TDU,2018,KAZ,KA7
TDU,2018,BLR,B14
TDU,2018,TJK,TJ3
TDU,2018,PAK,P4
TDU,2018,CHN,C7
TDU,2018,AFG,AF2
TDU,2018,ARM,AR4
TDU,2018,RUS,RU17
TDU,2019,KAZ,KA7
TDU,2019,BLR,B14
TDU,2019,TJK,TJ3
TDU,2019,PAK,P4
TDU,2019,CHN,C7
TDU,2019,AFG,AF2
TDU,2019,ARM,AR4
TDU,2019,RUS,RU17
TDU,2019,KOR,K9
TDU,2020,KAZ,KA7
TDU,2020,BLR,B14
TDU,2020,TJK,TJ3
TDU,2020,PAK,P4
TDU,2020,CHN,C7
TDU,2020,AFG,AF2
TDU,2020,ARM,AR4
TDU,2020,RUS,RU17
TDU,2020,KOR,K9
TDU,2020,AZE,AZ2
TDU,2021,KAZ,KA7
TDU,2021,BLR,B14
TDU,2021,TJK,TJ3
TDU,2021,PAK,P4
TDU,2021,CHN,C7
TDU,2021,AFG,AF2
TDU,2021,ARM,AR4
TDU,2021,RUS,RU17
TDU,2021,KOR,K9
TDU,2021,AZE,AZ2
TDU,2022,KAZ,KA7
TDU,2022,BLR,B14
TDU,2022,TJK,TJ3
TDU,2022,PAK,P4
TDU,2022,CHN,C7
TDU,2022,AFG,AF2
TDU,2022,ARM,AR4
TDU,2022,RUS,RU17
TDU,2022,RUS,RU1
TDU,2022,KOR,K9
TDU,2022,AZE,AZ2
TDU,2023,KAZ,KA7
TDU,2023,BLR,B14
TDU,2023,TJK,TJ3
TDU,2023,PAK,P4
TDU,2023,CHN,C7
TDU,2023,CHN,C8
TDU,2023,AFG,AF2
TDU,2023,ARM,AR4
TDU,2023,RUS,RU17
