Ýyl,Uniwersitet,Ugur,Welaýat,Hünär,Talyp görnüşi,Kwota
2024,TDU,1. Matematika we tebigy ylymlar,AHAL,Hünärmen,Scholarship,111.0
2024,TDU,1. Matematika we tebigy ylymlar,AHAL,Hünärmen,Non Scholarship,57.0
2024,TDU,1. Matematika we tebigy ylymlar,BALKAN,Hünärmen,Scholarship,87.0
2024,TDU,1. Matematika we tebigy ylymlar,BALKAN,Hünärmen,Non Scholarship,36.0
2024,TDU,1. Matematika we tebigy ylymlar,DAŞOGUZ,Hünärmen,Scholarship,82.0
2024,TDU,1. Matematika we tebigy ylymlar,DAŞOGUZ,Hünärmen,Non Scholarship,62.0
2024,TDU,1. Matematika we tebigy ylymlar,LEBAP,Hünärmen,Scholarship,23.0
2024,TDU,1. Matematika we tebigy ylymlar,LEBAP,Hünärmen,Non Scholarship,64.0
2024,TDU,1. Matematika we tebigy ylymlar,MARY,Hünärmen,Scholarship,81.0
2024,TDU,1. Matematika we tebigy ylymlar,MARY,Hünärmen,Non Scholarship,62.0
2024,TDU,1. Matematika we tebigy ylymlar,AŞGABAT,Hünärmen,Scholarship,132.0
2024,TDU,1. Matematika we tebigy ylymlar,AŞGABAT,Hünärmen,Non Scholarship,49.0
2024,TDU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",AHAL,Hünärmen,Non Scholarship,12.0
2024,TDU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",BALKAN,Hünärmen,Non Scholarship,9.0
2024,TDU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",DAŞOGUZ,Hünärmen,Non Scholarship,13.0
2024,TDU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",LEBAP,Hünärmen,Non Scholarship,13.0
2024,TDU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",MARY,Hünärmen,Non Scholarship,13.0
2024,TDU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",AŞGABAT,Hünärmen,Non Scholarship,15.0
2024,TDU,5. Jemgyýet baradaky ylymlar,AHAL,Hünärmen,Scholarship,8.0
2024,TDU,5. Jemgyýet baradaky ylymlar,AHAL,Hünärmen,Non Scholarship,17.0
2024,TDU,5. Jemgyýet baradaky ylymlar,AHAL,Bakalawr,Scholarship,2.0
2024,TDU,5. Jemgyýet baradaky ylymlar,BALKAN,Hünärmen,Scholarship,5.0
2024,TDU,5. Jemgyýet baradaky ylymlar,BALKAN,Hünärmen,Non Scholarship,13.0
2024,TDU,5. Jemgyýet baradaky ylymlar,BALKAN,Bakalawr,Scholarship,2.0
2024,TDU,5. Jemgyýet baradaky ylymlar,DAŞOGUZ,Hünärmen,Scholarship,6.0
2024,TDU,5. Jemgyýet baradaky ylymlar,DAŞOGUZ,Hünärmen,Non Scholarship,19.0
2024,TDU,5. Jemgyýet baradaky ylymlar,DAŞOGUZ,Bakalawr,Scholarship,1.0
2024,TDU,5. Jemgyýet baradaky ylymlar,LEBAP,Hünärmen,Scholarship,7.0
2024,TDU,5. Jemgyýet baradaky ylymlar,LEBAP,Hünärmen,Non Scholarship,19.0
2024,TDU,5. Jemgyýet baradaky ylymlar,LEBAP,Bakalawr,Scholarship,1.0
2024,TDU,5. Jemgyýet baradaky ylymlar,MARY,Hünärmen,Scholarship,6.0
2024,TDU,5. Jemgyýet baradaky ylymlar,MARY,Hünärmen,Non Scholarship,19.0
2024,TDU,5. Jemgyýet baradaky ylymlar,MARY,Bakalawr,Scholarship,1.0
2024,TDU,5. Jemgyýet baradaky ylymlar,AŞGABAT,Hünärmen,Scholarship,16.0
2024,TDU,5. Jemgyýet baradaky ylymlar,AŞGABAT,Hünärmen,Non Scholarship,23.0
2024,TDU,5. Jemgyýet baradaky ylymlar,AŞGABAT,Bakalawr,Scholarship,3.0
