Ugur,Year,State,Variable,Value
Jemi, 2015,Döwlet,Işe kabul edilenleriň sany,137700.0
Jemi, 2015,Döwlet,Ý.B. Işgärleriň sany,139665.0
Jemi,2015,Döwlet,Işgärleriň sany,675900.0
Jemi,2015,Döwlet,Işden çykanlaryň sany,124800.0
Jemi,2015,Döwlet,Ý.B. Işgärler göterimde %,
Jemi,2015,Döwlet,Kabul edilen ÝBI sany,20861.0
Jemi,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
Jemi,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
Jemi,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
Jemi,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
Jemi,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
Jemi,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
Jemi,2015,JEMI,Işgärleriň sany,675900.0
Jemi,2015,JEMI,Ý.B. Işgärleriň sany,139665.0
Jemi,2015,JEMI,Kabul edilen ÝBI sany,20861.0
Jemi,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
Jemi,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,4931.0
Jemi,2015,JEMI,ÝOM tamamlanlar,4600.0
Jemi,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,5751.0
Jemi,2015,JEMI,Döredilen ýuridik şahslar,0.0
Jemi,2015,JEMI,Ortaça aýlyk haky,1263.0
Jemi,2015,JEMI,ÝOM kwota,7128.0
Jemi,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,82587.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak", 2015,Döwlet,Işe kabul edilenleriň sany,18300.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak", 2015,Döwlet,Ý.B. Işgärleriň sany,2497.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet,Işgärleriň sany,43800.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet,Işden çykanlaryň sany,17300.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet,Ý.B. Işgärler göterimde %,
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet,Kabul edilen ÝBI sany,1043.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet dahylsyz,Işgärleriň sany,0.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Işgärleriň sany,43800.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Ý.B. Işgärleriň sany,2497.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Kabul edilen ÝBI sany,1043.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,88.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,ÝOM tamamlanlar,550.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,154.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Döredilen ýuridik şahslar,0.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Ortaça aýlyk haky,823.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,ÝOM kwota,680.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,507.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak, 2015,Döwlet,Işe kabul edilenleriň sany,3100.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak, 2015,Döwlet,Ý.B. Işgärleriň sany,3115.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet,Işgärleriň sany,26400.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet,Işden çykanlaryň sany,3500.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet,Ý.B. Işgärler göterimde %,
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet,Kabul edilen ÝBI sany,366.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,Işgärleriň sany,26400.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,Ý.B. Işgärleriň sany,3115.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,Kabul edilen ÝBI sany,366.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,110.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,ÝOM tamamlanlar,300.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,331.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,Döredilen ýuridik şahslar,0.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,Ortaça aýlyk haky,3325.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2015,JEMI,ÝOM kwota,443.0
3.Işläp bejerýän önümçilikler, 2015,Döwlet,Işe kabul edilenleriň sany,18100.0
3.Işläp bejerýän önümçilikler, 2015,Döwlet,Ý.B. Işgärleriň sany,5767.0
3.Işläp bejerýän önümçilikler,2015,Döwlet,Işgärleriň sany,74900.0
3.Işläp bejerýän önümçilikler,2015,Döwlet,Işden çykanlaryň sany,18700.0
3.Işläp bejerýän önümçilikler,2015,Döwlet,Ý.B. Işgärler göterimde %,
3.Işläp bejerýän önümçilikler,2015,Döwlet,Kabul edilen ÝBI sany,1394.0
3.Işläp bejerýän önümçilikler,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
3.Işläp bejerýän önümçilikler,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
3.Işläp bejerýän önümçilikler,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
3.Işläp bejerýän önümçilikler,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
3.Işläp bejerýän önümçilikler,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
3.Işläp bejerýän önümçilikler,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
3.Işläp bejerýän önümçilikler,2015,JEMI,Işgärleriň sany,74900.0
3.Işläp bejerýän önümçilikler,2015,JEMI,Ý.B. Işgärleriň sany,5767.0
3.Işläp bejerýän önümçilikler,2015,JEMI,Kabul edilen ÝBI sany,1394.0
3.Işläp bejerýän önümçilikler,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
3.Işläp bejerýän önümçilikler,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,204.0
3.Işläp bejerýän önümçilikler,2015,JEMI,ÝOM tamamlanlar,200.0
3.Işläp bejerýän önümçilikler,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,387.0
3.Işläp bejerýän önümçilikler,2015,JEMI,Döredilen ýuridik şahslar,0.0
3.Işläp bejerýän önümçilikler,2015,JEMI,Ortaça aýlyk haky,1040.0
3.Işläp bejerýän önümçilikler,2015,JEMI,ÝOM kwota,750.0
3.Işläp bejerýän önümçilikler,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,1877.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek", 2015,Döwlet,Işe kabul edilenleriň sany,5000.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek", 2015,Döwlet,Ý.B. Işgärleriň sany,2744.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet,Işgärleriň sany,24500.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet,Işden çykanlaryň sany,4200.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet,Ý.B. Işgärler göterimde %,
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet,Kabul edilen ÝBI sany,560.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet dahylsyz,Işgärleriň sany,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,Işgärleriň sany,24500.0
