Year,Ugur,Daşary ýurdy tamamlap ykrar edilenler
2024,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",9.828947368419904
2025,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2026,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2027,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2028,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2029,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2030,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2031,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2032,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2033,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2034,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2035,"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",0.0
2024,10.Habar beriş serişdeleri we aragatnaşyk,42.73684210526335
2025,10.Habar beriş serişdeleri we aragatnaşyk,28.921052631580096
2026,10.Habar beriş serişdeleri we aragatnaşyk,15.105263157896843
2027,10.Habar beriş serişdeleri we aragatnaşyk,1.2894736842135899
2028,10.Habar beriş serişdeleri we aragatnaşyk,0.0
2029,10.Habar beriş serişdeleri we aragatnaşyk,0.0
2030,10.Habar beriş serişdeleri we aragatnaşyk,0.0
2031,10.Habar beriş serişdeleri we aragatnaşyk,0.0
2032,10.Habar beriş serişdeleri we aragatnaşyk,0.0
2033,10.Habar beriş serişdeleri we aragatnaşyk,0.0
2034,10.Habar beriş serişdeleri we aragatnaşyk,0.0
2035,10.Habar beriş serişdeleri we aragatnaşyk,0.0
2024,11.Maliýe dellalçylygy we ätiýaçlandyrmak,247.2105263157864
2025,11.Maliýe dellalçylygy we ätiýaçlandyrmak,157.76315789474756
2026,11.Maliýe dellalçylygy we ätiýaçlandyrmak,68.31578947367962
2027,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2028,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2029,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2030,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2031,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2032,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2033,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2034,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2035,11.Maliýe dellalçylygy we ätiýaçlandyrmak,0.0
2024,12.Gozgalmaýan emläk bilen bagly amallar,28.539473684210634
2025,12.Gozgalmaýan emläk bilen bagly amallar,27.986842105263122
2026,12.Gozgalmaýan emläk bilen bagly amallar,27.434210526315837
2027,12.Gozgalmaýan emläk bilen bagly amallar,26.881578947368553
2028,12.Gozgalmaýan emläk bilen bagly amallar,26.32894736842104
2029,12.Gozgalmaýan emläk bilen bagly amallar,25.776315789473756
2030,12.Gozgalmaýan emläk bilen bagly amallar,25.22368421052647
2031,12.Gozgalmaýan emläk bilen bagly amallar,24.67105263157896
2032,12.Gozgalmaýan emläk bilen bagly amallar,24.118421052631675
2033,12.Gozgalmaýan emläk bilen bagly amallar,23.56578947368439
2034,12.Gozgalmaýan emläk bilen bagly amallar,23.013157894736878
2035,12.Gozgalmaýan emläk bilen bagly amallar,22.460526315789593
2024,"13.Hünärmenlik, ylmy we tehniki işler",396.8947368421068
2025,"13.Hünärmenlik, ylmy we tehniki işler",381.86842105262986
2026,"13.Hünärmenlik, ylmy we tehniki işler",366.84210526315655
2027,"13.Hünärmenlik, ylmy we tehniki işler",351.81578947368325
2028,"13.Hünärmenlik, ylmy we tehniki işler",336.78947368420995
2029,"13.Hünärmenlik, ylmy we tehniki işler",321.76315789473665
2030,"13.Hünärmenlik, ylmy we tehniki işler",306.73684210526335
2031,"13.Hünärmenlik, ylmy we tehniki işler",291.71052631579005
2032,"13.Hünärmenlik, ylmy we tehniki işler",276.68421052631675
2033,"13.Hünärmenlik, ylmy we tehniki işler",261.65789473684345
2034,"13.Hünärmenlik, ylmy we tehniki işler",246.6315789473665
2035,"13.Hünärmenlik, ylmy we tehniki işler",231.6052631578932
2024,14.Administratiw we kömekçi işler,144.2631578947403
2025,14.Administratiw we kömekçi işler,121.5789473684199
2026,14.Administratiw we kömekçi işler,98.8947368421068
2027,14.Administratiw we kömekçi işler,76.21052631579369
2028,14.Administratiw we kömekçi işler,53.5263157894733
2029,14.Administratiw we kömekçi işler,30.842105263160192
2030,14.Administratiw we kömekçi işler,8.157894736847084
2031,14.Administratiw we kömekçi işler,0.0
2032,14.Administratiw we kömekçi işler,0.0
2033,14.Administratiw we kömekçi işler,0.0
2034,14.Administratiw we kömekçi işler,0.0
2035,14.Administratiw we kömekçi işler,0.0
2024,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,99.38157894736844
2025,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,99.53947368421052
2026,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,99.69736842105266
2027,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,99.85526315789474
2028,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,100.01315789473682
2029,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,100.17105263157896
2030,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,100.32894736842104
2031,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,100.48684210526318
2032,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,100.64473684210526
2033,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,100.8026315789474
2034,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,100.96052631578948
2035,15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,101.11842105263156
2024,16.Bilim,4525.0
2025,16.Bilim,4986.0
2026,16.Bilim,5447.0
2027,16.Bilim,5908.0
2028,16.Bilim,6369.0
2029,16.Bilim,6830.0
2030,16.Bilim,7291.0
2031,16.Bilim,7752.0
2032,16.Bilim,8213.0
2033,16.Bilim,8674.0
2034,16.Bilim,9135.0
2035,16.Bilim,9596.0
2024,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,246.8026315789466
2025,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,223.5657894736869
2026,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,200.3289473684199
2027,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,177.0921052631602
2028,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,153.8552631578932
2029,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,130.6184210526335
2030,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,107.38157894737378
2031,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,84.1447368421068
2032,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,60.90789473684708
2033,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,37.671052631580096
2034,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,14.434210526320385
2035,17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,0.0
2024,"18.Sungat, dynç alyş we göwün açyş ",115.4473684210534
2025,"18.Sungat, dynç alyş we göwün açyş ",125.68421052631675
2026,"18.Sungat, dynç alyş we göwün açyş ",135.9210526315801
2027,"18.Sungat, dynç alyş we göwün açyş ",146.15789473684345
2028,"18.Sungat, dynç alyş we göwün açyş ",156.3947368421068
2029,"18.Sungat, dynç alyş we göwün açyş ",166.63157894737014
2030,"18.Sungat, dynç alyş we göwün açyş ",176.8684210526335
2031,"18.Sungat, dynç alyş we göwün açyş ",187.10526315789684
2032,"18.Sungat, dynç alyş we göwün açyş ",197.3421052631602
2033,"18.Sungat, dynç alyş we göwün açyş ",207.57894736842354
2034,"18.Sungat, dynç alyş we göwün açyş ",217.8157894736869
2035,"18.Sungat, dynç alyş we göwün açyş ",228.05263157895024
2024,19.Gaýry hyzmat ediş işler,10.855263157895024
2025,19.Gaýry hyzmat ediş işler,11.88157894736878
2026,19.Gaýry hyzmat ediş işler,12.907894736842081
2027,19.Gaýry hyzmat ediş işler,13.934210526315837
2028,19.Gaýry hyzmat ediş işler,14.960526315789593
2029,19.Gaýry hyzmat ediş işler,15.98684210526335
2030,19.Gaýry hyzmat ediş işler,17.013157894737105
2031,19.Gaýry hyzmat ediş işler,18.03947368421086
2032,19.Gaýry hyzmat ediş işler,19.065789473684617
2033,19.Gaýry hyzmat ediş işler,20.09210526315792
2034,19.Gaýry hyzmat ediş işler,21.118421052631675
2035,19.Gaýry hyzmat ediş işler,22.14473684210543
