Year,Ugur,ÝOM tamamlajaklar
2024,1. Matematika we tebigy ylymlar,1831.0
2024,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3728.0
2024,3. Saglygy goraýyş we lukmançylyk ylymlary,647.0
2024,4. Oba hojalygy we oba hojalyk ylymlary,835.0
2024,5. Jemgyýet baradaky ylymlar,3150.0
2024,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1259.0
2024,7. Ynsanperwer ylymlar,2434.0
2024,8. Sungat we medeniýet,775.0
2025,1. Matematika we tebigy ylymlar,1315.0
2025,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",5103.0
2025,3. Saglygy goraýyş we lukmançylyk ylymlary,1000.0
2025,4. Oba hojalygy we oba hojalyk ylymlary,740.0
2025,5. Jemgyýet baradaky ylymlar,3595.0
2025,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1324.0
2025,7. Ynsanperwer ylymlar,1821.0
2025,8. Sungat we medeniýet,632.0
2026,1. Matematika we tebigy ylymlar,1407.0
2026,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",5317.0
2026,3. Saglygy goraýyş we lukmançylyk ylymlary,1000.0
2026,4. Oba hojalygy we oba hojalyk ylymlary,721.0
2026,5. Jemgyýet baradaky ylymlar,3337.0
2026,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1449.0
2026,7. Ynsanperwer ylymlar,1932.0
2026,8. Sungat we medeniýet,519.0
2027,1. Matematika we tebigy ylymlar,1095.0
2027,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",5032.0
2027,3. Saglygy goraýyş we lukmançylyk ylymlary,1000.0
2027,4. Oba hojalygy we oba hojalyk ylymlary,746.0
2027,5. Jemgyýet baradaky ylymlar,3263.0
2027,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2329.0
2027,7. Ynsanperwer ylymlar,1405.0
2027,8. Sungat we medeniýet,575.0
2028,1. Matematika we tebigy ylymlar,1592.0
2028,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",4391.0
2028,3. Saglygy goraýyş we lukmançylyk ylymlary,1000.0
2028,4. Oba hojalygy we oba hojalyk ylymlary,775.0
2028,5. Jemgyýet baradaky ylymlar,3192.0
2028,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2318.0
2028,7. Ynsanperwer ylymlar,1492.0
2028,8. Sungat we medeniýet,564.0
2029,1. Matematika we tebigy ylymlar,2704.650713499205
2029,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3493.138406611129
2029,3. Saglygy goraýyş we lukmançylyk ylymlary,1110.0
2029,4. Oba hojalygy we oba hojalyk ylymlary,591.0087532949983
2029,5. Jemgyýet baradaky ylymlar,3295.3539467683995
2029,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2361.326863828983
2029,7. Ynsanperwer ylymlar,1477.5191471376613
2029,8. Sungat we medeniýet,594.9537754841006
2030,1. Matematika we tebigy ylymlar,2937.737490128908
2030,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3835.6492564704313
2030,3. Saglygy goraýyş we lukmançylyk ylymlary,1164.346283464392
2030,4. Oba hojalygy we oba hojalyk ylymlary,644.0312983127385
2030,5. Jemgyýet baradaky ylymlar,3802.545685081583
2030,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2643.580064287224
2030,7. Ynsanperwer ylymlar,1572.6367438187503
2030,8. Sungat we medeniýet,661.3908062596627
2031,1. Matematika we tebigy ylymlar,3368.0043822086773
2031,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",4365.525609227108
