Ýyl,Ugur,Kwota,Hünär
2015,1. Matematika we tebigy ylymlar,149.0,Bakalawr
2015,1. Matematika we tebigy ylymlar,466.0,Hünärmen
2015,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",188.0,Bakalawr
2015,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1699.0,Hünärmen
2015,3. Saglygy goraýyş we lukmançylyk ylymlary,497.0,Hünärmen
2015,4. Oba hojalygy we oba hojalyk ylymlary,555.0,Hünärmen
2015,5. Jemgyýet baradaky ylymlar,407.0,Bakalawr
2015,5. Jemgyýet baradaky ylymlar,1157.0,Hünärmen
2015,6. Bilim we pedagogika (mugallymçylyk) ylymlary,50.0,Bakalawr
2015,6. Bilim we pedagogika (mugallymçylyk) ylymlary,382.0,Hünärmen
2015,7. Ynsanperwer ylymlar,256.0,Bakalawr
2015,7. Ynsanperwer ylymlar,910.0,Hünärmen
2015,8. Sungat we medeniýet,412.0,Hünärmen
2016,1. Matematika we tebigy ylymlar,35.0,Bakalawr
2016,1. Matematika we tebigy ylymlar,470.0,Hünärmen
2016,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",516.0,Bakalawr
2016,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",1746.0,Hünärmen
2016,3. Saglygy goraýyş we lukmançylyk ylymlary,573.0,Hünärmen
2016,4. Oba hojalygy we oba hojalyk ylymlary,0.0,Bakalawr
2016,4. Oba hojalygy we oba hojalyk ylymlary,555.0,Hünärmen
2016,5. Jemgyýet baradaky ylymlar,286.0,Bakalawr
2016,5. Jemgyýet baradaky ylymlar,1134.0,Hünärmen
2016,6. Bilim we pedagogika (mugallymçylyk) ylymlary,422.0,Hünärmen
2016,7. Ynsanperwer ylymlar,21.0,Bakalawr
2016,7. Ynsanperwer ylymlar,1090.0,Hünärmen
2016,8. Sungat we medeniýet,0.0,Bakalawr
2016,8. Sungat we medeniýet,408.0,Hünärmen
2017,1. Matematika we tebigy ylymlar,735.0,Hünärmen
2017,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",91.0,Bakalawr
2017,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2618.0,Hünärmen
