,,University,2007-2008 Hünärmen,2007-2008 Bakalawr,2007-2008 Magistr,2008-2009 Hünärmen,2008-2009 Bakalawr,2008-2009 Magistr,2009-2010 Hünärmen,2009-2010 Bakalawr,2009-2010 Magistr,2010-2011 Hünärmen,2010-2011 Bakalawr,2010-2011 Magistr,2011-2012 Hünärmen,2011-2012 Bakalawr,2011-2012 Magistr,2012-2013 Hünärmen,2012-2013 Bakalawr,2012-2013 Magistr,2013-2014 Hünärmen,2013-2014 Bakalawr,2013-2014 Magistr,2014-2015 Hünärmen,2014-2015 Bakalawr,2014-2015 Magistr,2015-2016 Hünärmen,2015-2016 Bakalawr,2015-2016 Magistr,2016-2017 Hünärmen,2016-2017 Bakalawr,2016-2017 Magistr,2017-2018 Hünärmen,2017-2018 Bakalawr,2017-2018 Magistr,2018-2019 Hünärmen,2018-2019 Bakalawr,2018-2019 Magistr,2019-2020 Hünärmen,2019-2020 Bakalawr,2019-2020 Magistr,2020-2021 Hünärmen,2020-2021 Bakalawr,2020-2021 Magistr,2021-2022 Hünärmen,2021-2022 Bakalawr,2021-2022 Magistr,2022-2023 Hünärmen,2022-2023 Bakalawr,2022-2023 Magistr,2023-2024 Hünärmen,2023-2024 Bakalawr,2023-2024 Magistr,2024-2025 Hünärmen,2024-2025 Bakalawr,2024-2025 Magistr,2025-2026 Hünärmen,2025-2026 Bakalawr,2025-2026 Magistr,2026-2027 Hünärmen,2026-2027 Bakalawr,2026-2027 Magistr,2027-2028 Hünärmen,2027-2028 Bakalawr,2027-2028 Magistr,2028-2029 Hünärmen,2028-2029 Bakalawr,2028-2029 Magistr,2029-2030 Hünärmen,2029-2030 Bakalawr,2029-2030 Magistr,2030-2031 Hünärmen,2030-2031 Bakalawr,2030-2031 Magistr,2031-2032 Hünärmen,2031-2032 Bakalawr,2031-2032 Magistr,2032-2033 Hünärmen,2032-2033 Bakalawr,2032-2033 Magistr,2033-2034 Hünärmen,2033-2034 Bakalawr,2033-2034 Magistr,2034-2035 Hünärmen,2034-2035 Bakalawr,2034-2035 Magistr,2035-2036 Hünärmen,2035-2036 Bakalawr,2035-2036 Magistr,2036-2037 Hünärmen,2036-2037 Bakalawr,2036-2037 Magistr,2037-2038 Hünärmen,2037-2038 Bakalawr,2037-2038 Magistr,2038-2039 Hünärmen,2038-2039 Bakalawr,2038-2039 Magistr,2039-2040 Hünärmen,2039-2040 Bakalawr,2039-2040 Magistr,2040-2041 Hünärmen,2040-2041 Bakalawr,2040-2041 Magistr,2041-2042 Hünärmen,2041-2042 Bakalawr,2041-2042 Magistr,2042-2043 Hünärmen,2042-2043 Bakalawr,2042-2043 Magistr,2043-2044 Hünärmen,2043-2044 Bakalawr,2043-2044 Magistr,2044-2045 Hünärmen,2044-2045 Bakalawr,2044-2045 Magistr,2045-2046 Hünärmen,2045-2046 Bakalawr,2045-2046 Magistr,2046-2047 Hünärmen,2046-2047 Bakalawr,2046-2047 Magistr,2047-2048 Hünärmen,2047-2048 Bakalawr,2047-2048 Magistr,2048-2049 Hünärmen,2048-2049 Bakalawr,2048-2049 Magistr,2049-2050 Hünärmen,2049-2050 Bakalawr,2049-2050 Magistr,2050-2051 Hünärmen,2050-2051 Bakalawr,2050-2051 Magistr,2051-2052 Hünärmen,2051-2052 Bakalawr,2051-2052 Magistr
,1,TDU,600,,,627,,,615,,,623,,,702,,,800,,,958,,,1036,,,1101,,,1054,,,1121,,,1171,,,1466,,,1679,40,20,1772,50,20,1740,99,20,1738,110,24,1723,110,25,1732,110,25,1741,110,45,1750,110,45,1784,110,85,1794,130,85,1803,145,85,1812,150,95,1822,150,95,1831,151,95,1841,151,95,1850,166,95,1860,176,105,1870,176,106,1879,176,106,1889,177,106,1899,177,106,1924,192,106,1934,192,106,1945,192,106,1955,193,107,1965,193,107,1975,208,117,1986,208,117,1996,208,117,2007,208,117,2017,209,117,2027,210,117
,2,HNGU,,,,,,,,,,,,,,,,468,,,407,,,395,24,,419,24,,419,48,,478,112,,646,144,,1046,144,,1336,144,15,954,346,30,701,599,27,699,601,27,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23,695,605,23
,3,HYYÖU,,,,,,,,,,,,,,,,,,,,,,,280,,,583,,,1103,,,1332,,,1553,37,,1631,46,,1739,48,,1924,48,,2035,47,,2107,48,,1999,46,,2114,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,TITU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,450,,,470,20,,700,75,,900,50,,900,100,,900,100,,900,100,,900,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,TOHU,395,,,430,,,430,,,430,,,490,,,510,,,510,,,510,,,510,,,510,,,510,,,510,,,510,,,400,,,440,,,440,,,440,,,440, ,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,TMDDI,748,0,0,975,,,1054,,,1104,,,1172,,,1219,,,1276,,,1358,,,1461,,,1955,,,2153,,,2361,,,2898,,,2434,1109,10,2014,2216,25,1529,3317,30,941,4409,30,,4414,80,,4426,80,20,4412,80,40,4396,80,60,4376,80,80,4356,80,100,4336,80,120,4316,80,140,4296,80,160,4276,80,180,4256,80,200,4236,80,220,4216,80,240,4196,80,260,4176,80,280,4156,80,300,4136,80,310,4126,80,320,4116,80,330,4106,80,340,4096,80,350,4086,80,370,4066,80,390,4046,80,410,4026,80,430,4006,80,450,3986,80,450,3986,80
,7,TDMal,,,,,,,,,,,,,165,,,180,,,180,,,180,,,180,,,180,,,220,,,260,,,420,,,420,20,,,440,,,440,,,440,5,,440,16,,440,40,,460,60,,460,60,,460,60,,460,60,,460,60,,480,80,,480,80,,480,80,,480,80,,480,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80,,500,80
,8,TDBGI,601,,,631,,,633,,,635,,,725,,,503,,,538,,,550,,,570,,,578,,,569,,,569,,,670,,,720,,,805,45,,565,415,,610,430,,614,426,,614,426,15,,,45,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,HGI,0,0,0,198,,,223,,,239,,,264,,,280,,,278,,,277,,,291,,,290,,,292,,,310,,,331,,,352,,,369,45,36,397,102,54,407,164,63,410,221,78,416,236,78,423,240,78,422,236,78,420,240,78,420,240,78,420,240,78,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90,441,240,90
,10,TDYDI,300,,,320,,,320,,,320,,,305,,,375,,,420,,,435,,,450,,,450,60,,560,80,,560,80,19,660,100,23,320,500,60,,820,60,,820,60,,840,34,,920,100,,920,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
