University Index,University,Count,Year,Type
1,TDU,747.0,2017,Jemi
2,HYÖU,1665.0,2017,Jemi
3,HNGU,80.0,2017,Jemi
4,TDBGI,411.0,2017,Jemi
5,TDLU,344.0,2017,Jemi
6,TDBSI,354.0,2017,Jemi
7,HGI,624.0,2017,Jemi
8,TDMaI,226.0,2017,Jemi
9,TDYDI,742.0,2017,Jemi
10,TTweII,434.0,2017,Jemi
11,TMDDI,188.0,2017,Jemi
12,TITU,346.0,2017,Jemi
13,TITUKI,1054.0,2017,Jemi
14,HAA,0.0,2017,Jemi
15,TOHU,367.0,2017,Jemi
16,TDMI,388.0,2017,Jemi
17,TMK,111.0,2017,Jemi
18,TDÇA,90.0,2017,Jemi
19,SSTDMI,260.0,2017,Jemi
20,TDEI,405.0,2017,Jemi
21,TOHI,293.0,2017,Jemi
1,TDU,696.0,2017,Kompýuter tehnikalar
2,HYÖU,1595.0,2017,Kompýuter tehnikalar
3,HNGU,69.0,2017,Kompýuter tehnikalar
4,TDBGI,342.0,2017,Kompýuter tehnikalar
5,TDLU,302.0,2017,Kompýuter tehnikalar
6,TDBSI,327.0,2017,Kompýuter tehnikalar
7,HGI,586.0,2017,Kompýuter tehnikalar
8,TDMaI,197.0,2017,Kompýuter tehnikalar
9,TDYDI,654.0,2017,Kompýuter tehnikalar
10,TTweII,389.0,2017,Kompýuter tehnikalar
11,TMDDI,170.0,2017,Kompýuter tehnikalar
12,TITU,213.0,2017,Kompýuter tehnikalar
13,TITUKI,832.0,2017,Kompýuter tehnikalar
14,HAA,0.0,2017,Kompýuter tehnikalar
15,TOHU,311.0,2017,Kompýuter tehnikalar
16,TDMI,376.0,2017,Kompýuter tehnikalar
17,TMK,106.0,2017,Kompýuter tehnikalar
18,TDÇA,88.0,2017,Kompýuter tehnikalar
19,SSTDMI,236.0,2017,Kompýuter tehnikalar
20,TDEI,340.0,2017,Kompýuter tehnikalar
21,TOHI,258.0,2017,Kompýuter tehnikalar
1,TDU,19.0,2017,Interaktiw tagtalar
2,HYÖU,11.0,2017,Interaktiw tagtalar
3,HNGU,3.0,2017,Interaktiw tagtalar
4,TDBGI,30.0,2017,Interaktiw tagtalar
5,TDLU,19.0,2017,Interaktiw tagtalar
6,TDBSI,19.0,2017,Interaktiw tagtalar
7,HGI,19.0,2017,Interaktiw tagtalar
8,TDMaI,11.0,2017,Interaktiw tagtalar
9,TDYDI,44.0,2017,Interaktiw tagtalar
10,TTweII,20.0,2017,Interaktiw tagtalar
11,TMDDI,9.0,2017,Interaktiw tagtalar
12,TITU,67.0,2017,Interaktiw tagtalar
13,TITUKI,74.0,2017,Interaktiw tagtalar
14,HAA,0.0,2017,Interaktiw tagtalar
15,TOHU,10.0,2017,Interaktiw tagtalar
16,TDMI,7.0,2017,Interaktiw tagtalar
17,TMK,2.0,2017,Interaktiw tagtalar
18,TDÇA,2.0,2017,Interaktiw tagtalar
19,SSTDMI,8.0,2017,Interaktiw tagtalar
20,TDEI,15.0,2017,Interaktiw tagtalar
21,TOHI,12.0,2017,Interaktiw tagtalar
1,TDU,32.0,2017,Proýektorlar
2,HYÖU,59.0,2017,Proýektorlar
3,HNGU,8.0,2017,Proýektorlar
4,TDBGI,39.0,2017,Proýektorlar
5,TDLU,23.0,2017,Proýektorlar
6,TDBSI,8.0,2017,Proýektorlar
7,HGI,19.0,2017,Proýektorlar
8,TDMaI,18.0,2017,Proýektorlar
9,TDYDI,44.0,2017,Proýektorlar
10,TTweII,22.0,2017,Proýektorlar
11,TMDDI,9.0,2017,Proýektorlar
12,TITU,66.0,2017,Proýektorlar
13,TITUKI,74.0,2017,Proýektorlar
14,HAA,0.0,2017,Proýektorlar
15,TOHU,46.0,2017,Proýektorlar
16,TDMI,5.0,2017,Proýektorlar
17,TMK,2.0,2017,Proýektorlar
18,TDÇA,0.0,2017,Proýektorlar
19,SSTDMI,8.0,2017,Proýektorlar
20,TDEI,50.0,2017,Proýektorlar
21,TOHI,23.0,2017,Proýektorlar
1,TDU,0.0,2017,Interaktiw işjeň paneller
2,HYÖU,0.0,2017,Interaktiw işjeň paneller
3,HNGU,0.0,2017,Interaktiw işjeň paneller
4,TDBGI,0.0,2017,Interaktiw işjeň paneller
5,TDLU,0.0,2017,Interaktiw işjeň paneller
6,TDBSI,0.0,2017,Interaktiw işjeň paneller
7,HGI,0.0,2017,Interaktiw işjeň paneller
8,TDMaI,0.0,2017,Interaktiw işjeň paneller
9,TDYDI,0.0,2017,Interaktiw işjeň paneller
10,TTweII,0.0,2017,Interaktiw işjeň paneller
11,TMDDI,0.0,2017,Interaktiw işjeň paneller
12,TITU,0.0,2017,Interaktiw işjeň paneller
13,TITUKI,74.0,2017,Interaktiw işjeň paneller
14,HAA,0.0,2017,Interaktiw işjeň paneller
15,TOHU,0.0,2017,Interaktiw işjeň paneller
16,TDMI,0.0,2017,Interaktiw işjeň paneller
17,TMK,1.0,2017,Interaktiw işjeň paneller
18,TDÇA,0.0,2017,Interaktiw işjeň paneller
19,SSTDMI,8.0,2017,Interaktiw işjeň paneller
20,TDEI,0.0,2017,Interaktiw işjeň paneller
21,TOHI,0.0,2017,Interaktiw işjeň paneller
1,TDU,0.0,2017,VR enjamlar
2,HYÖU,0.0,2017,VR enjamlar
3,HNGU,0.0,2017,VR enjamlar
4,TDBGI,0.0,2017,VR enjamlar
5,TDLU,0.0,2017,VR enjamlar
6,TDBSI,0.0,2017,VR enjamlar
7,HGI,0.0,2017,VR enjamlar
8,TDMaI,0.0,2017,VR enjamlar
9,TDYDI,0.0,2017,VR enjamlar
10,TTweII,0.0,2017,VR enjamlar
11,TMDDI,0.0,2017,VR enjamlar
12,TITU,0.0,2017,VR enjamlar
13,TITUKI,0.0,2017,VR enjamlar
14,HAA,0.0,2017,VR enjamlar
15,TOHU,0.0,2017,VR enjamlar
16,TDMI,0.0,2017,VR enjamlar
17,TMK,0.0,2017,VR enjamlar
18,TDÇA,0.0,2017,VR enjamlar
19,SSTDMI,0.0,2017,VR enjamlar
20,TDEI,0.0,2017,VR enjamlar
21,TOHI,0.0,2017,VR enjamlar
1,TDU,0.0,2017,AR enjamlar
2,HYÖU,0.0,2017,AR enjamlar
3,HNGU,0.0,2017,AR enjamlar
4,TDBGI,0.0,2017,AR enjamlar
5,TDLU,0.0,2017,AR enjamlar
6,TDBSI,0.0,2017,AR enjamlar
7,HGI,0.0,2017,AR enjamlar
8,TDMaI,0.0,2017,AR enjamlar
9,TDYDI,0.0,2017,AR enjamlar
10,TTweII,3.0,2017,AR enjamlar
11,TMDDI,0.0,2017,AR enjamlar
12,TITU,0.0,2017,AR enjamlar
13,TITUKI,0.0,2017,AR enjamlar
14,HAA,0.0,2017,AR enjamlar
15,TOHU,0.0,2017,AR enjamlar
16,TDMI,0.0,2017,AR enjamlar
17,TMK,0.0,2017,AR enjamlar
18,TDÇA,0.0,2017,AR enjamlar
19,SSTDMI,0.0,2017,AR enjamlar
20,TDEI,0.0,2017,AR enjamlar
21,TOHI,0.0,2017,AR enjamlar
1,TDU,752.0,2018,Jemi
2,HYÖU,1671.0,2018,Jemi
3,HNGU,83.0,2018,Jemi
4,TDBGI,419.0,2018,Jemi
5,TDLU,364.0,2018,Jemi
6,TDBSI,354.0,2018,Jemi
7,HGI,624.0,2018,Jemi
8,TDMaI,236.0,2018,Jemi
9,TDYDI,742.0,2018,Jemi
10,TTweII,434.0,2018,Jemi
11,TMDDI,221.0,2018,Jemi
12,TITU,346.0,2018,Jemi
13,TITUKI,1054.0,2018,Jemi
