University Index,University,Count,Year,Type
1,TDLU,21.0,2020,Elibrary.ru
2,TDEI,32.0,2020,Elibrary.ru
3,TITUKI,1.0,2020,Elibrary.ru
4,HGI,0.0,2020,Elibrary.ru
5,TTweII,3.0,2020,Elibrary.ru
6,HYYÖU,3.0,2020,Elibrary.ru
7,HNGU,28.0,2020,Elibrary.ru
8,TDBGI,67.0,2020,Elibrary.ru
9,TDMI,0.0,2020,Elibrary.ru
10,TDBSI,3.0,2020,Elibrary.ru
11,TDMaI,39.0,2020,Elibrary.ru
12,TDYDI,6.0,2020,Elibrary.ru
13,TDU,26.0,2020,Elibrary.ru
14,TMDDI,6.0,2020,Elibrary.ru
15,TOHI,0.0,2020,Elibrary.ru
16,TOHU,1.0,2020,Elibrary.ru
17,TITU,0.0,2020,Elibrary.ru
18,HAA,0.0,2020,Elibrary.ru
19,TDÇA,0.0,2020,Elibrary.ru
20,TMK,2.0,2020,Elibrary.ru
21,TDMugI,3.0,2020,Elibrary.ru
1,TDLU,9.0,2020,РИНЦ
2,TDEI,8.0,2020,РИНЦ
3,TITUKI,0.0,2020,РИНЦ
4,HGI,0.0,2020,РИНЦ
5,TTweII,3.0,2020,РИНЦ
6,HYYÖU,0.0,2020,РИНЦ
7,HNGU,24.0,2020,РИНЦ
8,TDBGI,11.0,2020,РИНЦ
9,TDMI,0.0,2020,РИНЦ
10,TDBSI,2.0,2020,РИНЦ
11,TDMaI,1.0,2020,РИНЦ
12,TDYDI,4.0,2020,РИНЦ
13,TDU,20.0,2020,РИНЦ
14,TMDDI,2.0,2020,РИНЦ
15,TOHI,0.0,2020,РИНЦ
16,TOHU,1.0,2020,РИНЦ
17,TITU,0.0,2020,РИНЦ
18,HAA,0.0,2020,РИНЦ
19,TDÇA,0.0,2020,РИНЦ
20,TMK,2.0,2020,РИНЦ
21,TDMugI,2.0,2020,РИНЦ
1,TDLU,0.0,2020,Web of Science ýa-da Scopus
2,TDEI,0.0,2020,Web of Science ýa-da Scopus
3,TITUKI,0.0,2020,Web of Science ýa-da Scopus
4,HGI,0.0,2020,Web of Science ýa-da Scopus
5,TTweII,0.0,2020,Web of Science ýa-da Scopus
6,HYYÖU,0.0,2020,Web of Science ýa-da Scopus
7,HNGU,0.0,2020,Web of Science ýa-da Scopus
8,TDBGI,0.0,2020,Web of Science ýa-da Scopus
9,TDMI,0.0,2020,Web of Science ýa-da Scopus
10,TDBSI,0.0,2020,Web of Science ýa-da Scopus
11,TDMaI,0.0,2020,Web of Science ýa-da Scopus
12,TDYDI,0.0,2020,Web of Science ýa-da Scopus
13,TDU,2.0,2020,Web of Science ýa-da Scopus
14,TMDDI,1.0,2020,Web of Science ýa-da Scopus
15,TOHI,0.0,2020,Web of Science ýa-da Scopus
16,TOHU,0.0,2020,Web of Science ýa-da Scopus
17,TITU,0.0,2020,Web of Science ýa-da Scopus
18,HAA,0.0,2020,Web of Science ýa-da Scopus
19,TDÇA,0.0,2020,Web of Science ýa-da Scopus
20,TMK,0.0,2020,Web of Science ýa-da Scopus
