Row Index,KOD,Year,Uviversity,Hünärler,Tölegli talyp sany,BŽ talyp sany
1,M,2022-2023,TDU,Bilimi dolandyrmak,0,0
2,M,2022-2023,TDU,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),20,0
3,M,2022-2023,TDU,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TDU,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TDU,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TDU,Nebitgaz işi,0,0
7,M,2022-2023,TDU,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TDU,Ykdysadyýet ,0,0
9,M,2022-2023,TDU,Maliýe menejmenti ,0,0
10,M,2022-2023,TDU,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TDU,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TDU,Telekeçilik we maliýe,0,0
13,M,2022-2023,TDU,Sanly diplomatiýa,0,0
14,M,2022-2023,TDU,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TDU,Gündogary öwreniş,0,0
16,M,2022-2023,TDU,Halkara hususy hukugy,0,0
17,M,2022-2023,TDU,Halkara jemagat hukugy,0,0
18,M,2022-2023,TDU,Halkara ykdysadyýet,0,0
19,M,2022-2023,TDU,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TDU,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,TDU,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TDU,Zootehniýa,0,0
23,M,2022-2023,TDU,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,TDU,Medeniýeti öwreniş,0,0
25,M,2022-2023,TDU,Bank menejmenti ,0,0
26,M,2022-2023,TDU,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,TDU,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,TDU,Atçylyk,0,0
29,M,2022-2023,TDU,Salgyt menejmenti ,0,0
30,M,2022-2023,TDU,Milli ykdysadyýet ,0,0
1,M,2022-2023,HNGU,Bilimi dolandyrmak,0,0
2,M,2022-2023,HNGU,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,HNGU,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,HNGU,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,HNGU,Işewürlik-dolandyryş,0,0
6,M,2022-2023,HNGU,Nebitgaz işi,13,0
7,M,2022-2023,HNGU,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,14,0
8,M,2022-2023,HNGU,Ykdysadyýet ,0,0
9,M,2022-2023,HNGU,Maliýe menejmenti ,0,0
10,M,2022-2023,HNGU,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,HNGU,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,HNGU,Telekeçilik we maliýe,0,0
13,M,2022-2023,HNGU,Sanly diplomatiýa,0,0
14,M,2022-2023,HNGU,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,HNGU,Gündogary öwreniş,0,0
16,M,2022-2023,HNGU,Halkara hususy hukugy,0,0
17,M,2022-2023,HNGU,Halkara jemagat hukugy,0,0
18,M,2022-2023,HNGU,Halkara ykdysadyýet,0,0
19,M,2022-2023,HNGU,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,HNGU,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,HNGU,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,HNGU,Zootehniýa,0,0
23,M,2022-2023,HNGU,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,HNGU,Medeniýeti öwreniş,0,0
25,M,2022-2023,HNGU,Bank menejmenti ,0,0
26,M,2022-2023,HNGU,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,HNGU,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,HNGU,Atçylyk,0,0
29,M,2022-2023,HNGU,Salgyt menejmenti ,0,0
30,M,2022-2023,HNGU,Milli ykdysadyýet ,0,0
1,M,2022-2023,HYYÖU,Bilimi dolandyrmak,30,0
2,M,2022-2023,HYYÖU,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,HYYÖU,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,HYYÖU,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,HYYÖU,Işewürlik-dolandyryş,17,0
6,M,2022-2023,HYYÖU,Nebitgaz işi,0,0
7,M,2022-2023,HYYÖU,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,HYYÖU,Ykdysadyýet ,0,0
9,M,2022-2023,HYYÖU,Maliýe menejmenti ,0,0
10,M,2022-2023,HYYÖU,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,HYYÖU,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,HYYÖU,Telekeçilik we maliýe,0,0
13,M,2022-2023,HYYÖU,Sanly diplomatiýa,0,0
14,M,2022-2023,HYYÖU,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,HYYÖU,Gündogary öwreniş,0,0
16,M,2022-2023,HYYÖU,Halkara hususy hukugy,0,0
17,M,2022-2023,HYYÖU,Halkara jemagat hukugy,0,0
18,M,2022-2023,HYYÖU,Halkara ykdysadyýet,0,0
19,M,2022-2023,HYYÖU,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,HYYÖU,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,HYYÖU,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,HYYÖU,Zootehniýa,0,0
23,M,2022-2023,HYYÖU,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,HYYÖU,Medeniýeti öwreniş,0,0
25,M,2022-2023,HYYÖU,Bank menejmenti ,0,0
26,M,2022-2023,HYYÖU,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,HYYÖU,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,HYYÖU,Atçylyk,0,0
29,M,2022-2023,HYYÖU,Salgyt menejmenti ,0,0
30,M,2022-2023,HYYÖU,Milli ykdysadyýet ,0,0
1,M,2022-2023,TITU,Bilimi dolandyrmak,0,0
2,M,2022-2023,TITU,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TITU,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TITU,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TITU,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TITU,Nebitgaz işi,0,0
7,M,2022-2023,TITU,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TITU,Ykdysadyýet ,0,0
9,M,2022-2023,TITU,Maliýe menejmenti ,0,0
10,M,2022-2023,TITU,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TITU,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TITU,Telekeçilik we maliýe,0,0
13,M,2022-2023,TITU,Sanly diplomatiýa,0,0
14,M,2022-2023,TITU,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TITU,Gündogary öwreniş,0,0
16,M,2022-2023,TITU,Halkara hususy hukugy,0,0
17,M,2022-2023,TITU,Halkara jemagat hukugy,0,0
18,M,2022-2023,TITU,Halkara ykdysadyýet,0,0
19,M,2022-2023,TITU,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TITU,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),100,0
21,M,2022-2023,TITU,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TITU,Zootehniýa,0,0
23,M,2022-2023,TITU,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,TITU,Medeniýeti öwreniş,0,0
25,M,2022-2023,TITU,Bank menejmenti ,0,0
26,M,2022-2023,TITU,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,TITU,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,TITU,Atçylyk,0,0
29,M,2022-2023,TITU,Salgyt menejmenti ,0,0
30,M,2022-2023,TITU,Milli ykdysadyýet ,0,0
1,M,2022-2023,TOHU,Bilimi dolandyrmak,0,0
2,M,2022-2023,TOHU,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TOHU,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TOHU,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TOHU,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TOHU,Nebitgaz işi,0,0
7,M,2022-2023,TOHU,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TOHU,Ykdysadyýet ,0,0
9,M,2022-2023,TOHU,Maliýe menejmenti ,0,0
10,M,2022-2023,TOHU,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TOHU,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TOHU,Telekeçilik we maliýe,0,0
13,M,2022-2023,TOHU,Sanly diplomatiýa,0,0
14,M,2022-2023,TOHU,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TOHU,Gündogary öwreniş,0,0
16,M,2022-2023,TOHU,Halkara hususy hukugy,0,0
17,M,2022-2023,TOHU,Halkara jemagat hukugy,0,0
18,M,2022-2023,TOHU,Halkara ykdysadyýet,0,0
19,M,2022-2023,TOHU,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TOHU,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,TOHU,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TOHU,Zootehniýa,0,0
23,M,2022-2023,TOHU,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,TOHU,Medeniýeti öwreniş,0,0
25,M,2022-2023,TOHU,Bank menejmenti ,0,0
26,M,2022-2023,TOHU,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,TOHU,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,TOHU,Atçylyk,0,0
29,M,2022-2023,TOHU,Salgyt menejmenti ,0,0
30,M,2022-2023,TOHU,Milli ykdysadyýet ,0,0
1,M,2022-2023,TMDDI,Bilimi dolandyrmak,0,0
2,M,2022-2023,TMDDI,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TMDDI,Psihologiýa-pedagogika bilimi,20,0
4,M,2022-2023,TMDDI,Daşary ýurt dillerini okatmagyň usulyýeti,10,0
5,M,2022-2023,TMDDI,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TMDDI,Nebitgaz işi,0,0
7,M,2022-2023,TMDDI,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TMDDI,Ykdysadyýet ,0,0
9,M,2022-2023,TMDDI,Maliýe menejmenti ,0,0
10,M,2022-2023,TMDDI,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TMDDI,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TMDDI,Telekeçilik we maliýe,0,0
13,M,2022-2023,TMDDI,Sanly diplomatiýa,0,0
14,M,2022-2023,TMDDI,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TMDDI,Gündogary öwreniş,0,0
16,M,2022-2023,TMDDI,Halkara hususy hukugy,0,0
17,M,2022-2023,TMDDI,Halkara jemagat hukugy,0,0
18,M,2022-2023,TMDDI,Halkara ykdysadyýet,0,0
19,M,2022-2023,TMDDI,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TMDDI,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,TMDDI,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TMDDI,Zootehniýa,0,0
