Year,Region,Graduates
2015,AHAL,10829.0
2016,AHAL,10672.0
2017,AHAL,10298.0
2018,AHAL,10161.0
2019,AHAL,9251.0
2020,AHAL,9316.0
2021,AHAL,10829.0
2022,AHAL,10031.0
2023,AHAL,10321.0
2024,AHAL,11136.0
2025,AHAL,
2026,AHAL,
2027,AHAL,
2028,AHAL,
2029,AHAL,
2030,AHAL,
2031,AHAL,
2032,AHAL,
2033,AHAL,
2034,AHAL,
2035,AHAL,
2036,AHAL,
2037,AHAL,
2038,AHAL,
2039,AHAL,
2040,AHAL,
2041,AHAL,
2042,AHAL,
2015,BALKAN,5855.0
2016,BALKAN,6305.0
2017,BALKAN,6621.0
2018,BALKAN,6352.0
2019,BALKAN,6036.0
2020,BALKAN,6195.0
2021,BALKAN,5855.0
2022,BALKAN,7270.0
2023,BALKAN,7227.0
2024,BALKAN,7645.0
2025,BALKAN,
2026,BALKAN,
2027,BALKAN,
2028,BALKAN,
2029,BALKAN,
2030,BALKAN,
2031,BALKAN,
2032,BALKAN,
2033,BALKAN,
2034,BALKAN,
2035,BALKAN,
2036,BALKAN,
2037,BALKAN,
2038,BALKAN,
2039,BALKAN,
2040,BALKAN,
2041,BALKAN,
2042,BALKAN,
2015,DAŞOGUZ,20718.0
2016,DAŞOGUZ,20740.0
2017,DAŞOGUZ,20284.0
2018,DAŞOGUZ,19814.0
2019,DAŞOGUZ,18287.0
2020,DAŞOGUZ,18021.0
2021,DAŞOGUZ,20718.0
2022,DAŞOGUZ,17726.0
2023,DAŞOGUZ,17312.0
2024,DAŞOGUZ,19343.0
2025,DAŞOGUZ,
2026,DAŞOGUZ,
2027,DAŞOGUZ,
2028,DAŞOGUZ,
2029,DAŞOGUZ,
2030,DAŞOGUZ,
2031,DAŞOGUZ,
2032,DAŞOGUZ,
2033,DAŞOGUZ,
2034,DAŞOGUZ,
2035,DAŞOGUZ,
2036,DAŞOGUZ,
2037,DAŞOGUZ,
2038,DAŞOGUZ,
2039,DAŞOGUZ,
2040,DAŞOGUZ,
2041,DAŞOGUZ,
2042,DAŞOGUZ,
2015,LEBAP,20077.0
2016,LEBAP,20172.0
2017,LEBAP,19314.0
2018,LEBAP,18886.0
2019,LEBAP,17600.0
2020,LEBAP,17866.0
2021,LEBAP,20077.0
2022,LEBAP,19312.0
2023,LEBAP,19210.0
2024,LEBAP,20691.0
2025,LEBAP,
2026,LEBAP,
2027,LEBAP,
2028,LEBAP,
2029,LEBAP,
2030,LEBAP,
2031,LEBAP,
2032,LEBAP,
2033,LEBAP,
2034,LEBAP,
2035,LEBAP,
2036,LEBAP,
2037,LEBAP,
2038,LEBAP,
2039,LEBAP,
2040,LEBAP,
2041,LEBAP,
2042,LEBAP,
2015,MARY,22914.0
2016,MARY,21432.0
2017,MARY,21235.0
2018,MARY,20288.0
2019,MARY,18007.0
2020,MARY,18204.0
2021,MARY,22914.0
2022,MARY,18329.0
2023,MARY,17959.0
2024,MARY,20023.0
2025,MARY,
2026,MARY,
2027,MARY,
2028,MARY,
2029,MARY,
2030,MARY,
2031,MARY,
2032,MARY,
2033,MARY,
2034,MARY,
2035,MARY,
2036,MARY,
2037,MARY,
2038,MARY,
2039,MARY,
2040,MARY,
2041,MARY,
2042,MARY,
2015,AŞGABAT,9889.0
2016,AŞGABAT,9905.0
2017,AŞGABAT,9852.0
2018,AŞGABAT,10009.0
2019,AŞGABAT,9252.0
2020,AŞGABAT,9486.0
2021,AŞGABAT,9889.0
2022,AŞGABAT,10246.0
2023,AŞGABAT,10535.0
2024,AŞGABAT,11071.0
2025,AŞGABAT,
2026,AŞGABAT,
2027,AŞGABAT,
2028,AŞGABAT,
2029,AŞGABAT,
2030,AŞGABAT,
2031,AŞGABAT,
2032,AŞGABAT,
2033,AŞGABAT,
2034,AŞGABAT,
2035,AŞGABAT,
2036,AŞGABAT,
2037,AŞGABAT,
2038,AŞGABAT,
2039,AŞGABAT,
2040,AŞGABAT,
2041,AŞGABAT,
2042,AŞGABAT,
2015,JEMI,90282.0
2016,JEMI,89226.0
2017,JEMI,87604.0
2018,JEMI,85510.0
2019,JEMI,78433.0
2020,JEMI,79088.0
2021,JEMI,90282.0
2022,JEMI,82914.0
2023,JEMI,82564.0
2024,JEMI,89909.0
2025,JEMI,94311.0
2026,JEMI,110698.0
2027,JEMI,120558.0
2028,JEMI,137048.0
2029,JEMI,144911.0
2030,JEMI,147543.0
2031,JEMI,153752.0
2032,JEMI,159447.0
2033,JEMI,159372.0
2034,JEMI,158941.0
2035,JEMI,152648.0
2036,JEMI,146065.0
2037,JEMI,160690.0
2038,JEMI,155641.0
2039,JEMI,142796.0
2040,JEMI,131886.0
2041,JEMI,122730.0
2042,JEMI,111602.0
