Year,Region,Graduates
2015,AHAL,10829
2016,AHAL,10672
2017,AHAL,10298
2018,AHAL,10161
2019,AHAL,9251
2020,AHAL,9316
2021,AHAL,10829
2022,AHAL,10031
2023,AHAL,10321
2024,AHAL,11136
2025,AHAL,11825
2026,AHAL,14634
2027,AHAL,16001
2028,AHAL,19193
2029,AHAL,20521
2030,AHAL,20815
2031,AHAL,21860
2032,AHAL,23076
2033,AHAL,23329
2034,AHAL,22588
2035,AHAL,21564
2036,AHAL,20318
2037,AHAL,21860
2038,AHAL,23076
2039,AHAL,23329
2040,AHAL,22588
2041,AHAL,21564
2042,AHAL,20318
2015,BALKAN,5855
2016,BALKAN,6305
2017,BALKAN,6621
2018,BALKAN,6352
2019,BALKAN,6036
2020,BALKAN,6195
2021,BALKAN,5855
2022,BALKAN,7270
2023,BALKAN,7227
2024,BALKAN,7645
2025,BALKAN,7313
2026,BALKAN,9184
2027,BALKAN,9525
2028,BALKAN,10434
2029,BALKAN,11585
2030,BALKAN,11708
2031,BALKAN,11938
2032,BALKAN,12128
2033,BALKAN,12162
2034,BALKAN,12156
2035,BALKAN,11529
2036,BALKAN,10888
2037,BALKAN,11938
2038,BALKAN,12128
2039,BALKAN,12162
2040,BALKAN,12156
2041,BALKAN,11529
2042,BALKAN,10888
2015,DAŞOGUZ,20718
2016,DAŞOGUZ,20740
2017,DAŞOGUZ,20284
2018,DAŞOGUZ,19814
2019,DAŞOGUZ,18287
2020,DAŞOGUZ,18021
2021,DAŞOGUZ,20718
2022,DAŞOGUZ,17726
2023,DAŞOGUZ,17312
2024,DAŞOGUZ,19343
2025,DAŞOGUZ,19890
2026,DAŞOGUZ,24618
2027,DAŞOGUZ,26674
2028,DAŞOGUZ,30050
2029,DAŞOGUZ,32570
2030,DAŞOGUZ,33918
2031,DAŞOGUZ,34613
2032,DAŞOGUZ,36053
2033,DAŞOGUZ,35990
2034,DAŞOGUZ,35552
2035,DAŞOGUZ,35204
2036,DAŞOGUZ,33780
2037,DAŞOGUZ,34613
2038,DAŞOGUZ,36053
2039,DAŞOGUZ,35990
2040,DAŞOGUZ,35552
2041,DAŞOGUZ,35204
2042,DAŞOGUZ,33780
2015,LEBAP,20077
2016,LEBAP,20172
2017,LEBAP,19314
2018,LEBAP,18886
2019,LEBAP,17600
2020,LEBAP,17866
2021,LEBAP,20077
2022,LEBAP,19312
2023,LEBAP,19210
2024,LEBAP,20691
2025,LEBAP,21385
2026,LEBAP,24638
2027,LEBAP,27080
2028,LEBAP,30863
2029,LEBAP,29823
2030,LEBAP,29384
2031,LEBAP,30436
2032,LEBAP,31079
2033,LEBAP,31134
2034,LEBAP,31010
2035,LEBAP,29142
2036,LEBAP,26951
2037,LEBAP,30436
2038,LEBAP,31079
2039,LEBAP,31134
2040,LEBAP,31010
2041,LEBAP,29142
2042,LEBAP,26951
2015,MARY,22914
2016,MARY,21432
2017,MARY,21235
2018,MARY,20288
2019,MARY,18007
2020,MARY,18204
2021,MARY,22914
2022,MARY,18329
2023,MARY,17959
2024,MARY,20023
2025,MARY,21987
2026,MARY,26310
2027,MARY,28744
2028,MARY,32224
2029,MARY,34223
2030,MARY,34873
2031,MARY,36485
2032,MARY,38143
2033,MARY,37449
2034,MARY,37631
2035,MARY,35536
2036,MARY,35056
2037,MARY,36485
2038,MARY,38143
2039,MARY,37449
2040,MARY,37631
2041,MARY,35536
2042,MARY,35056
2015,AŞGABAT,9889
2016,AŞGABAT,9905
2017,AŞGABAT,9852
2018,AŞGABAT,10009
2019,AŞGABAT,9252
2020,AŞGABAT,9486
2021,AŞGABAT,9889
2022,AŞGABAT,10246
2023,AŞGABAT,10535
2024,AŞGABAT,11071
2025,AŞGABAT,11710
2026,AŞGABAT,13909
2027,AŞGABAT,14772
2028,AŞGABAT,16278
2029,AŞGABAT,17780
2030,AŞGABAT,18325
2031,AŞGABAT,19303
2032,AŞGABAT,19291
2033,AŞGABAT,19808
2034,AŞGABAT,20307
2035,AŞGABAT,19482
2036,AŞGABAT,18495
2037,AŞGABAT,19303
2038,AŞGABAT,19291
2039,AŞGABAT,19808
2040,AŞGABAT,20307
2041,AŞGABAT,19482
2042,AŞGABAT,18495
2015,ARKADAG,0
2016,ARKADAG,0
2017,ARKADAG,0
2018,ARKADAG,0
2019,ARKADAG,0
2020,ARKADAG,0
2021,ARKADAG,0
2022,ARKADAG,0
2023,ARKADAG,0
2024,ARKADAG,0
2025,ARKADAG,201
2026,ARKADAG,0
2027,ARKADAG,0
2028,ARKADAG,0
2029,ARKADAG,0
2030,ARKADAG,0
2031,ARKADAG,0
2032,ARKADAG,0
2033,ARKADAG,0
2034,ARKADAG,0
2035,ARKADAG,162
2036,ARKADAG,577
2037,ARKADAG,577
2038,ARKADAG,577
2039,ARKADAG,577
2040,ARKADAG,577
2041,ARKADAG,577
2042,ARKADAG,577
2015,JEMI,90282
2016,JEMI,89226
2017,JEMI,87604
2018,JEMI,85510
2019,JEMI,78433
2020,JEMI,79088
2021,JEMI,90282
2022,JEMI,82914
2023,JEMI,82564
2024,JEMI,89909
2025,JEMI,94311
2026,JEMI,110698
2027,JEMI,120558
2028,JEMI,137048
2029,JEMI,144911
2030,JEMI,147543
2031,JEMI,153752
2032,JEMI,159447
2033,JEMI,159372
2034,JEMI,158941
2035,JEMI,152648
2036,JEMI,146065
2037,JEMI,160690
2038,JEMI,155641
2039,JEMI,142796
2040,JEMI,131886
2041,JEMI,122730
2042,JEMI,111602
