,University,Talyp sany,Year,Hünärler
0.0,TDU,600.0,2007-2008,Hünärmen
0.0,HNGU,0.0,2007-2008,Hünärmen
0.0,HYYÖU,0.0,2007-2008,Hünärmen
0.0,TITU,0.0,2007-2008,Hünärmen
0.0,TOHU,395.0,2007-2008,Hünärmen
0.0,TMDDI,748.0,2007-2008,Hünärmen
0.0,TDMal,0.0,2007-2008,Hünärmen
0.0,TDBGI,601.0,2007-2008,Hünärmen
0.0,HGI,0.0,2007-2008,Hünärmen
0.0,TDYDI,300.0,2007-2008,Hünärmen
0.0,TTII,1008.0,2007-2008,Hünärmen
0.0,TDLU,280.0,2007-2008,Hünärmen
0.0,TDBSI,150.0,2007-2008,Hünärmen
0.0,TDMI,70.0,2007-2008,Hünärmen
0.0,TMK,353.0,2007-2008,Hünärmen
0.0,TDÇA,250.0,2007-2008,Hünärmen
0.0,TITUKI,0.0,2007-2008,Hünärmen
0.0,TOHI,0.0,2007-2008,Hünärmen
0.0,TDEI,739.0,2007-2008,Hünärmen
0.0,SSTDMI,659.0,2007-2008,Hünärmen
0.0,HAA,0.0,2007-2008,Hünärmen
0.0,TDU,0.0,2007-2008,Bakalawr
0.0,HNGU,0.0,2007-2008,Bakalawr
0.0,HYYÖU,0.0,2007-2008,Bakalawr
0.0,TITU,0.0,2007-2008,Bakalawr
0.0,TOHU,0.0,2007-2008,Bakalawr
0.0,TMDDI,0.0,2007-2008,Bakalawr
0.0,TDMal,0.0,2007-2008,Bakalawr
0.0,TDBGI,0.0,2007-2008,Bakalawr
0.0,HGI,0.0,2007-2008,Bakalawr
0.0,TDYDI,0.0,2007-2008,Bakalawr
0.0,TTII,0.0,2007-2008,Bakalawr
0.0,TDLU,0.0,2007-2008,Bakalawr
0.0,TDBSI,0.0,2007-2008,Bakalawr
0.0,TDMI,0.0,2007-2008,Bakalawr
0.0,TMK,0.0,2007-2008,Bakalawr
0.0,TDÇA,0.0,2007-2008,Bakalawr
0.0,TITUKI,0.0,2007-2008,Bakalawr
0.0,TOHI,0.0,2007-2008,Bakalawr
0.0,TDEI,0.0,2007-2008,Bakalawr
0.0,SSTDMI,0.0,2007-2008,Bakalawr
0.0,HAA,0.0,2007-2008,Bakalawr
0.0,TDU,0.0,2007-2008,Magistr
0.0,HNGU,0.0,2007-2008,Magistr
0.0,HYYÖU,0.0,2007-2008,Magistr
0.0,TITU,0.0,2007-2008,Magistr
0.0,TOHU,0.0,2007-2008,Magistr
0.0,TMDDI,0.0,2007-2008,Magistr
0.0,TDMal,0.0,2007-2008,Magistr
0.0,TDBGI,0.0,2007-2008,Magistr
0.0,HGI,0.0,2007-2008,Magistr
0.0,TDYDI,0.0,2007-2008,Magistr
0.0,TTII,0.0,2007-2008,Magistr
0.0,TDLU,0.0,2007-2008,Magistr
0.0,TDBSI,0.0,2007-2008,Magistr
0.0,TDMI,0.0,2007-2008,Magistr
0.0,TMK,0.0,2007-2008,Magistr
0.0,TDÇA,0.0,2007-2008,Magistr
0.0,TITUKI,0.0,2007-2008,Magistr
0.0,TOHI,0.0,2007-2008,Magistr
0.0,TDEI,0.0,2007-2008,Magistr
0.0,SSTDMI,0.0,2007-2008,Magistr
0.0,HAA,0.0,2007-2008,Magistr
0.0,TDU,627.0,2008-2009,Hünärmen
0.0,HNGU,0.0,2008-2009,Hünärmen
0.0,HYYÖU,0.0,2008-2009,Hünärmen
0.0,TITU,0.0,2008-2009,Hünärmen
0.0,TOHU,430.0,2008-2009,Hünärmen
0.0,TMDDI,975.0,2008-2009,Hünärmen
0.0,TDMal,0.0,2008-2009,Hünärmen
0.0,TDBGI,631.0,2008-2009,Hünärmen
0.0,HGI,198.0,2008-2009,Hünärmen
0.0,TDYDI,320.0,2008-2009,Hünärmen
0.0,TTII,1368.0,2008-2009,Hünärmen
0.0,TDLU,310.0,2008-2009,Hünärmen
0.0,TDBSI,180.0,2008-2009,Hünärmen
0.0,TDMI,100.0,2008-2009,Hünärmen
0.0,TMK,379.0,2008-2009,Hünärmen
0.0,TDÇA,262.0,2008-2009,Hünärmen
0.0,TITUKI,0.0,2008-2009,Hünärmen
0.0,TOHI,0.0,2008-2009,Hünärmen
0.0,TDEI,941.0,2008-2009,Hünärmen
0.0,SSTDMI,841.0,2008-2009,Hünärmen
0.0,HAA,0.0,2008-2009,Hünärmen
0.0,TDU,0.0,2008-2009,Bakalawr
0.0,HNGU,0.0,2008-2009,Bakalawr
0.0,HYYÖU,0.0,2008-2009,Bakalawr
0.0,TITU,0.0,2008-2009,Bakalawr
0.0,TOHU,0.0,2008-2009,Bakalawr
0.0,TMDDI,0.0,2008-2009,Bakalawr
0.0,TDMal,0.0,2008-2009,Bakalawr
0.0,TDBGI,0.0,2008-2009,Bakalawr
0.0,HGI,0.0,2008-2009,Bakalawr
0.0,TDYDI,0.0,2008-2009,Bakalawr
0.0,TTII,0.0,2008-2009,Bakalawr
0.0,TDLU,0.0,2008-2009,Bakalawr
0.0,TDBSI,0.0,2008-2009,Bakalawr
0.0,TDMI,0.0,2008-2009,Bakalawr
0.0,TMK,0.0,2008-2009,Bakalawr
0.0,TDÇA,0.0,2008-2009,Bakalawr
0.0,TITUKI,0.0,2008-2009,Bakalawr
0.0,TOHI,0.0,2008-2009,Bakalawr
0.0,TDEI,0.0,2008-2009,Bakalawr
0.0,SSTDMI,0.0,2008-2009,Bakalawr
0.0,HAA,0.0,2008-2009,Bakalawr
0.0,TDU,0.0,2008-2009,Magistr
0.0,HNGU,0.0,2008-2009,Magistr
0.0,HYYÖU,0.0,2008-2009,Magistr
0.0,TITU,0.0,2008-2009,Magistr
0.0,TOHU,0.0,2008-2009,Magistr
0.0,TMDDI,0.0,2008-2009,Magistr
0.0,TDMal,0.0,2008-2009,Magistr
0.0,TDBGI,0.0,2008-2009,Magistr
0.0,HGI,0.0,2008-2009,Magistr
0.0,TDYDI,0.0,2008-2009,Magistr
0.0,TTII,0.0,2008-2009,Magistr
0.0,TDLU,0.0,2008-2009,Magistr
0.0,TDBSI,0.0,2008-2009,Magistr
0.0,TDMI,0.0,2008-2009,Magistr
0.0,TMK,0.0,2008-2009,Magistr
0.0,TDÇA,0.0,2008-2009,Magistr
0.0,TITUKI,0.0,2008-2009,Magistr
0.0,TOHI,0.0,2008-2009,Magistr
0.0,TDEI,0.0,2008-2009,Magistr
0.0,SSTDMI,0.0,2008-2009,Magistr
0.0,HAA,0.0,2008-2009,Magistr
0.0,TDU,615.0,2009-2010,Hünärmen
0.0,HNGU,0.0,2009-2010,Hünärmen
0.0,HYYÖU,0.0,2009-2010,Hünärmen
0.0,TITU,0.0,2009-2010,Hünärmen
0.0,TOHU,430.0,2009-2010,Hünärmen
0.0,TMDDI,1054.0,2009-2010,Hünärmen
0.0,TDMal,0.0,2009-2010,Hünärmen
0.0,TDBGI,633.0,2009-2010,Hünärmen
0.0,HGI,223.0,2009-2010,Hünärmen
0.0,TDYDI,320.0,2009-2010,Hünärmen
0.0,TTII,1505.0,2009-2010,Hünärmen
0.0,TDLU,310.0,2009-2010,Hünärmen
0.0,TDBSI,180.0,2009-2010,Hünärmen
0.0,TDMI,100.0,2009-2010,Hünärmen
